Year;Crop;Treatment;B1;B2;B3;B4
2010;1;A;66.92175899;64.91165488;65.20581646;65.54900496
2010;1;B;60.97894978;53.94669993;64.3229567;48.04551124
2010;1;C;49.72700507;42.20898948;55.96744938;52.56714429
2010;1;D;61.10465391;47.37716881;65.06927055;48.5665538
2011;1;A;69.41886047;74.63035809;72.28678934;67.89928622
2011;1;B;72.5306516;67.58782201;71.50984984;63.66579419
2011;1;C;59.84745639;60.38324383;70.77752005;59.81530915
2011;1;D;71.1848064;69.95656142;75.243355;69.26233601
2012;1;A;73.22996724;71.68453143;76.00571745;69.9033133
2012;1;B;71.0933313;67.77447799;75.69314553;54.61551577
2012;1;C;57.24514178;56.54152673;68.1194956;54.79971824
2012;1;D;75.42057441;70.53050965;75.77982626;69.56320732
2013;1;A;76.58867;76.01772;76.80768;74.35064
2013;1;B;62.4211;57.75165;74.87296;68.64487
2013;1;C;54.80619;61.5618;68.91046;52.66079
2013;1;D;77.10052;75.59179;76.48356;73.38355
2014;1;A;89.3004;88.50779;92.91686;85.90023
2014;2;A;89.39769;86.38896;87.41466;84.63461
2014;1;B;90.63881;86.58183;90.7499;82.74571
2014;2;B;86.02108;85.1603;84.9126;81.92676
2014;1;C;83.4359;82.14639;86.13972;74.21072
2014;2;C;81.7875;78.1743;87.83457;81.80433
2014;1;D;87.33355;84.36901;88.15286;85.08969
2014;2;D;88.75612;85.63014;88.37871;89.26719
2015;1;A;78.91988;81.85199;82.27775;79.45207
2015;2;A;86.25241;83.37032;86.89299;87.09179
2015;1;B;81.19148;80.84211;83.71431;78.19142
2015;2;B;86.91155;85.61624;90.10294;86.74081
2015;1;C;70.15449;72.36445;82.58504;82.04111
2015;2;C;82.63359;80.20719;90.52151;83.12333
2015;1;D;81.95968;79.90142;81.51191;78.73975
2015;2;D;84.8605;73.46816;90.14303;81.72085
2016;1;A;56.78953;60.94577;59.69796;53.61415
2016;2;A;62.62773;63.04259;59.91548;59.84564
2016;1;B;61.66533;56.92025;60.06257;57.70764
2016;2;B;60.47973;62.79599;59.77118;59.63651
2016;1;C;57.68799;56.70598;59.57011;55.60264
2016;2;C;59.44058;58.8228;62.92304;57.14924
2016;1;D;59.95973;57.76476;58.39025;54.90983
2016;2;D;62.03129;59.47473;60.20697;59.35338
2017;1;A;73.6232;73.95251;79.78907;74.78553
2017;2;A;76.98374;80.32742;82.67201;76.76942
2017;1;B;83.48708;76.87028;80.64236;76.21963
2017;2;B;91.13928;84.19701;83.03221;80.69178
2017;1;C;77.79855;75.80227;80.32529;77.05049
2017;2;C;82.22761;73.85818;80.1393;82.84709
2017;1;D;82.83249;74.82056;87.66867;71.08051
2017;2;D;84.77343;82.64184;93.38234;78.42322
2018;1;A;67.77871;70.3246;74.93675;68.48959
2018;2;A;74.88192;73.77176;76.71273;66.70403
2018;1;B;69.11569;69.38452;69.66709;68.80795
2018;2;B;75.01917;67.8494;76.08777;71.67481
2018;1;C;66.78062;64.44719;70.381;69.67078
2018;2;C;69.51187;64.43216;69.04601;73.02304
2018;1;D;69.48431;70.03839;70.90843;61.08612
2018;2;D;70.24795;67.85024;73.74647;66.75745
2019;1;A;95.04531;94.39775;106.8016;69.43487
2019;2;A;105.8166;103.2551;103.651;97.88124
2019;1;B;104.8438;75.42615;108.9681;70.47452
2019;2;B;105.2818;89.62745;108.2543;87.07971
2019;1;C;93.60153;78.9235;108.6621;100.5441
2019;2;C;89.40211;73.91651;95.17927;104.1524
2019;1;D;103.0523;88.72307;111.7447;86.83555
2019;2;D;90.41821;90.91755;110.6515;94.78676
