Year;F2;F1;hkg grain/ha;kg N grain/ha;hkg straw/ha;hkg DM/ha;hkg rawprotein/ha;rawprotein % in DM;1000 grain weight gram
2010;A;1;65.6;86.4;nan;55.8;5.4;9.7;nan
2010;B;1;56.8;80.4;nan;48.3;5.03;10.4;nan
2010;C;1;50.1;71.4;nan;42.6;4.46;10.5;nan
2010;D;1;55.5;72.6;nan;47.2;4.54;9.6;nan
2011;A;1;71.1;88.9;nan;60.4;5.56;9.2;nan
2011;B;1;68.8;84.2;nan;58.5;5.26;9;nan
2011;C;1;62.7;79.4;nan;53.3;4.96;9.3;nan
2011;D;1;71.5;89.6;nan;60.7;5.6;9.2;nan
2012;A;1;72.7;84.9;nan;61.8;5.31;8.6;52.6
2012;B;1;67.4;77.5;nan;57.2;4.84;8.5;51.9
2012;C;1;59.2;65;nan;50.3;4.06;8.1;51.7
2012;D;1;72.8;84.3;nan;61.9;5.27;8.5;52.9
2013;A;1;75.9;97.9;nan;64.6;6.12;9.5;nan
2013;B;1;65.9;84.9;nan;56;5.31;9.5;nan
2013;C;1;59.5;74;nan;50.6;4.63;9.1;nan
2013;D;1;75.6;95.9;nan;64.3;6;9.3;nan
2014;A;1;89.2;117.6;nan;75.8;7.35;9.7;59.8
2014;A;2;87;117.1;nan;73.9;7.32;9.9;57.4
2014;B;1;87.7;124;nan;74.5;7.75;10.4;58.9
2014;B;2;84.5;118.4;nan;71.8;7.4;10.3;57.4
2014;C;1;81.5;111.9;nan;69.3;7;10.1;58.1
2014;C;2;82.4;113.2;nan;70;7.07;10.1;56.8
2014;D;1;86.2;116.1;nan;73.3;7.26;9.9;59
2014;D;2;88;116.1;nan;74.8;7.26;9.7;58.4
2015;A;1;80.6;88;nan;68.5;5.5;8;135
2015;A;2;85.9;90.6;nan;73;5.66;7.8;121.6
2015;B;1;81;93.6;nan;68.8;5.85;8.5;107.2
2015;B;2;87.3;98.8;nan;74.2;6.17;8.3;106.8
2015;C;1;76.8;83.8;nan;65.3;5.24;8;115.7
2015;C;2;84.1;90.7;nan;71.5;5.67;7.9;122
2015;D;1;80.5;88.4;nan;68.4;5.53;8.1;117.4
2015;D;2;82.5;89.5;nan;70.2;5.6;8;134.4
2016;A;1;57.8;78.6;nan;49.1;4.91;10;59.3
2016;A;2;61.4;86;nan;52.2;5.37;10.3;60.8
2016;B;1;59.1;81.2;nan;50.2;5.07;10.1;61.1
2016;B;2;60.7;86.6;nan;51.6;5.41;10.5;60.4
2016;C;1;57.4;80.4;nan;48.8;5.02;10.3;61
2016;C;2;59.6;85.9;nan;50.6;5.37;10.6;58.1
2016;D;1;57.8;74.6;nan;49.1;4.66;9.5;61.4
2016;D;2;60.3;83.6;nan;51.2;5.23;10.2;59.2
2017;A;1;75.5;96.6;nan;64.2;6.04;9.4;54.4
2017;A;2;79.2;98;nan;67.3;6.13;9.1;52.8
2017;B;1;79.3;101.4;nan;67.4;6.34;9.4;55.2
2017;B;2;84.8;109.5;nan;72.1;6.84;9.5;57
2017;C;1;77.7;99.4;nan;66.1;6.21;9.4;54.3
2017;C;2;79.8;103.1;nan;67.8;6.44;9.5;55.8
2017;D;1;79.1;96.8;nan;67.2;6.05;9;56
2017;D;2;84.8;107.3;nan;72.1;6.7;9.3;54.6
2018;A;1;70.4;92.4;37;59.8;5.26;8.8;42.2
2018;A;2;73;98;37.9;62.1;5.59;9;44.7
2018;B;1;69.2;92.9;37.6;58.9;5.3;9;42.8
2018;B;2;72.7;97.5;37.8;58.9;5.56;9;46.5
2018;C;1;67.8;89;35.5;58.9;5.07;8.8;42.2
2018;C;2;69;93.6;36.8;58.9;5.34;9.1;43.7
2018;D;1;67.9;90.1;35.4;58.9;5.14;8.9;41.2
2018;D;2;69.7;91.4;37.2;58.9;5.21;8.8;42.2
2019;A;1;91.4;123.6;61.6;77.7;7.05;9.1;42.4
2019;A;2;102.7;139.2;70.9;87.3;7.94;9.1;43.8
2019;B;1;89.9;123.2;63.2;76.4;7.02;9.8;40.4
2019;B;2;97.6;135.5;68.6;82.9;7.72;9.4;42.7
2019;C;1;95.4;128.9;65.2;81.1;7.35;9.1;43
2019;C;2;90.7;130.8;62;77.1;7.46;9.7;44.9
2019;D;1;97.6;132.3;64.7;83;7.54;9.1;43.6
2019;D;2;96.7;131.8;61.6;82.2;7.51;9.2;42.9
