Site,Date,Primary,Secondary
Tylstrup,26-04-2011,11,
Tylstrup,10-05-2011,22,
Tylstrup,11-05-2011,22,
Tylstrup,16-05-2011,25,
Tylstrup,30-05-2011,33,
Tylstrup,06-06-2011,40,
Tylstrup,15-06-2011,51,
Tylstrup,20-06-2011,59,
Tylstrup,05-07-2011,75,
Tylstrup,08-07-2011,77,
Tylstrup,18-07-2011,80,
Tylstrup,02-08-2011,86,
Tylstrup,10-08-2011,89,
Tylstrup,03-04-2012,6,
Tylstrup,03-04-2012,7,
Tylstrup,10-04-2012,09,
Tylstrup,19-04-2012,11,
Tylstrup,29-04-2012,12,
Tylstrup,30-04-2012,12,
Tylstrup,09-05-2012,14,
Tylstrup,16-05-2012,20,
Tylstrup,21-05-2012,22,
Tylstrup,25-05-2012,29,
Tylstrup,31-05-2012,32,
Tylstrup,06-06-2012,37,
Tylstrup,12-06-2012,44,
Tylstrup,19-06-2012,50,
Tylstrup,28-06-2012,59,
Tylstrup,02-07-2012,61,
Tylstrup,10-07-2012,79,
Tylstrup,24-07-2012,83,
Tylstrup,06-08-2012,86,
Tylstrup,13-08-2012,88,
Tylstrup,27-08-2012,89,
Tylstrup,05-10-2012,9,
Tylstrup,10-10-2012,11,
Tylstrup,12-10-2012,12,
Tylstrup,22-10-2012,12,
Tylstrup,05-11-2012,13,
Tylstrup,14-11-2012,20,
Tylstrup,26-11-2012,22,
Tylstrup,04-04-2013,22,
Tylstrup,02-05-2013,30,
Tylstrup,02-05-2013,31,
Tylstrup,07-05-2013,31,
Tylstrup,24-05-2013,50,
Tylstrup,28-05-2013,57,
Tylstrup,31-05-2013,59,
Tylstrup,10-06-2013,67,
Tylstrup,18-06-2013,70,
Tylstrup,25-06-2013,72,
Tylstrup,02-07-2013,76,
Tylstrup,09-07-2013,79,
Tylstrup,18-07-2013,81,
Tylstrup,05-08-2013,87,
Tylstrup,13-08-2013,89,
Tylstrup,16-04-2014,00,
Tylstrup,25-04-2014,01,
Tylstrup,30-04-2014,03,
Tylstrup,05-05-2014,05,
Tylstrup,15-05-2014,08,
Tylstrup,15-05-2014,09,
Tylstrup,17-05-2014,9,
Tylstrup,22-05-2014,13,
Tylstrup,27-05-2014,15,
Tylstrup,04-06-2014,15,
Tylstrup,10-06-2014,27,
Tylstrup,13-06-2014,45,
Tylstrup,18-06-2014,47,
Tylstrup,20-06-2014,53,
Tylstrup,26-06-2014,59,
Tylstrup,02-07-2014,60,
Tylstrup,03-07-2014,60,
Tylstrup,14-07-2014,69,
Tylstrup,13-08-2014,92,
Tylstrup,18-08-2014,92,
Tylstrup,25-08-2014,92,
Tylstrup,22-09-2014,00,
Tylstrup,29-09-2014,07,
Tylstrup,29-09-2014,08,
Tylstrup,02-10-2014,09,
Tylstrup,09-10-2014,11,
Tylstrup,13-10-2014,12,
Tylstrup,22-10-2014,13,
Tylstrup,30-10-2014,13,
Tylstrup,14-11-2014,14,
Tylstrup,14-11-2014,15,
Tylstrup,17-12-2014,22,
Tylstrup,24-03-2015,22,
Tylstrup,09-04-2015,24,
Tylstrup,22-04-2015,30,
Tylstrup,30-04-2015,31,
Tylstrup,05-05-2015,31,
Tylstrup,14-05-2015,32,
Tylstrup,26-05-2015,33,
Tylstrup,12-06-2015,49,
Tylstrup,15-06-2015,51,
Tylstrup,13-07-2015,71,
Tylstrup,21-07-2015,75,
Tylstrup,13-08-2015,82,
Tylstrup,20-08-2015,88,
Tylstrup,01-09-2015,,09
Tylstrup,08-09-2015,90,
Tylstrup,15-04-2016,0,
Tylstrup,01-05-2016,9,
Tylstrup,10-05-2016,12,
Tylstrup,19-05-2016,23,
Tylstrup,19-05-2016,,11
Tylstrup,19-05-2016,,12
Tylstrup,02-06-2016,36,
Tylstrup,09-06-2016,50,
Tylstrup,10-06-2016,50,
Tylstrup,24-06-2016,54,
Jyndevad,23-03-2011,0,
Jyndevad,05-04-2011,9,
Jyndevad,08-04-2011,10,
Jyndevad,20-04-2011,13,
Jyndevad,26-04-2011,21,
Jyndevad,26-04-2011,22,
Jyndevad,02-05-2011,26,
Jyndevad,04-05-2011,26,
Jyndevad,18-05-2011,37,
Jyndevad,23-05-2011,40,
Jyndevad,26-05-2011,50,
Jyndevad,01-06-2011,59,
Jyndevad,30-06-2011,75,
Jyndevad,04-07-2011,76,
Jyndevad,20-07-2011,82,
Jyndevad,01-08-2011,90,
Jyndevad,17-05-2012,9,
Jyndevad,22-05-2012,11,
Jyndevad,26-05-2012,14,
Jyndevad,26-05-2012,15,
Jyndevad,30-05-2012,13,
Jyndevad,05-06-2012,15,
Jyndevad,06-06-2012,15,
Jyndevad,15-06-2012,16,
Jyndevad,18-06-2012,17,
Jyndevad,25-06-2012,19,
Jyndevad,02-07-2012,31,
Jyndevad,10-07-2012,35,
Jyndevad,17-07-2012,51,
Jyndevad,23-07-2012,53,
Jyndevad,30-07-2012,59,
Jyndevad,05-08-2012,63,
Jyndevad,14-08-2012,66,
Jyndevad,17-08-2012,67,
Jyndevad,20-08-2012,68,
Jyndevad,27-08-2012,72,
Jyndevad,03-09-2012,74,
Jyndevad,13-09-2012,82,
Jyndevad,19-09-2012,83,
Jyndevad,24-09-2012,84,
Jyndevad,01-10-2012,87,
Jyndevad,08-10-2012,88,
Jyndevad,26-04-2013,9,
Jyndevad,03-05-2013,12,
Jyndevad,07-05-2013,13,
Jyndevad,07-05-2013,14,
Jyndevad,13-05-2013,14,
Jyndevad,16-05-2013,14,
Jyndevad,16-05-2013,15,
Jyndevad,21-05-2013,25,
Jyndevad,27-05-2013,30,
Jyndevad,03-06-2013,37,
Jyndevad,06-06-2013,38,
Jyndevad,10-06-2013,41,
Jyndevad,17-06-2013,60,
Jyndevad,25-06-2013,65,
Jyndevad,01-07-2013,67,
Jyndevad,09-07-2013,68,
Jyndevad,15-07-2013,69,
Jyndevad,22-07-2013,78,
Jyndevad,29-07-2013,81,
Jyndevad,05-08-2013,90,
Jyndevad,30-04-2014,05,
Jyndevad,30-04-2014,08,
Jyndevad,06-05-2014,08,
Jyndevad,14-05-2014,9,
Jyndevad,26-05-2014,22,
Jyndevad,02-06-2014,29,
Jyndevad,10-06-2014,38,
Jyndevad,12-06-2014,39,
Jyndevad,14-06-2014,47,
Jyndevad,16-06-2014,48,
Jyndevad,18-06-2014,50,
Jyndevad,19-06-2014,50,
Jyndevad,23-06-2014,50,
Jyndevad,27-06-2014,65,
Jyndevad,30-06-2014,66,
Jyndevad,04-07-2014,69,
Jyndevad,08-07-2014,69,
Jyndevad,12-07-2014,70,
Jyndevad,18-07-2014,72,
Jyndevad,21-07-2014,79,
Jyndevad,24-07-2014,81,
Jyndevad,29-07-2014,82,
Jyndevad,30-07-2014,85,
Jyndevad,04-08-2014,86,
Jyndevad,07-08-2014,86,
Jyndevad,11-08-2014,93,
Jyndevad,14-08-2014,93,
Jyndevad,26-09-2014,09,
Jyndevad,29-09-2014,10,
Jyndevad,08-10-2014,13,
Jyndevad,22-10-2014,14,
Jyndevad,24-10-2014,14,
Jyndevad,27-10-2014,15,
Jyndevad,11-11-2014,20,
Jyndevad,17-11-2014,20,
Jyndevad,27-11-2014,21,
Jyndevad,09-03-2015,22,
Jyndevad,17-03-2015,22,
Jyndevad,20-03-2015,22,
Jyndevad,07-04-2015,23,
Jyndevad,15-04-2015,30,
Jyndevad,20-04-2015,31,
Jyndevad,28-04-2015,32,
Jyndevad,04-05-2015,33,
Jyndevad,08-05-2015,34,
Jyndevad,13-05-2015,35,
Jyndevad,18-05-2015,37,
Jyndevad,26-05-2015,43,
Jyndevad,01-06-2015,47,
Jyndevad,09-06-2015,55,
Jyndevad,11-06-2015,57,
Jyndevad,16-06-2015,59,
Jyndevad,23-06-2015,60,
Jyndevad,29-06-2015,65,
Jyndevad,30-06-2015,65,
Jyndevad,06-07-2015,75,
Jyndevad,08-07-2015,75,
Jyndevad,13-07-2015,79,
