Site,Date,Crop,Stubble,Yield,YieldDM%,Removed,Straw,StrawDM%,Comment
Tylstrup,16-08-2011,Spring barley,14,75.7,85,Removed,34.6,100,
Tylstrup,27-08-2012,Potatoes,15,62.0,85,Removed,37.3,100,
Tylstrup,20-08-2013,Winter rye,15,77.4,85,Removed,33.8,100,
Tylstrup,12-09-2014,Potatoes,107.1,100,,,
Tylstrup,08-09-2015,Winter wheat,14,74.0,85,Removed,46.4,100,
Jyndevad,23-08-2011,Spring barley,15,72.4,85,Removed,30.2,100,
Jyndevad,08-10-2012,Maize,25,,,Removed,151.41,100,Whole crop yield
Jyndevad,07-08-2013,Pea,10,38.8,86,Shredded,30.1,100,western half of the field - interrupted by rain. Straw shreddet at harvest. 14-08-2013 Harvest of the eastern half of the field - straw shreddet at harvest
Jyndevad,20-08-2015,Winter wheat,15,79.7,85,Left,71.5,100,
Silstrup,21-07-2011,Grass seed,12,15.2,87,Removed,45.8,100,
Silstrup,17-08-2011,Grass seed,4.5,,,,,,Trimming of grass - 4-5 cm height
Silstrup,29-09-2011,Grass seed,5.5,,,,,,Trimming of grass - 5-6 cm height
Silstrup,25-07-2012,Grass seed,12,14.16,87,Removed,48.3,100,
Silstrup,06-09-2013,Spring barley,14,59.8,85,Shredded,46.0,100,
Silstrup,16-08-2014,Winter wheat,14,83.5,85,Left,113.8,100,
Silstrup,31-10-2015,Maize,25,,,Removed,64.98,100,Total harvested yield 64.98 hkg ha-1100% DM.
Estrup,22-08-2011,Winter wheat,12,66.3,85,Shredded,53.8,100,
Estrup,13-08-2012,Spring barley,12,62.9,85,Shredded,41.0,100,
Estrup,06-09-2013,Pea,10,49.8,86,Shredded,24.38,100,
Estrup,06-08-2014,Winter wheat,11,69.3,85,Shredded,48.7,100
Estrup,23-10-2015,Maize,25,,,Removed,105.98,10,Total harvested yield 105.98 hkg ha-1 100% DM.
Faardrup,05-07-2011,Grass seed,5,7,87,Removed,21.1,,Windrowing. 20-07-2011: Threshing of grass seed
Faardrup,12-08-2012,Spring barley,15,67.51,85,Removed,27.62,100,
Faardrup,22-07-2013,White clover,8.0,1.56,,,0.96,,22-07-2013:Windrowing. 28-07-2013: Threshing of white clover. Seed yield fresh 1,560 hkg ha-1. Straw yield fresh 0.96 hkg ha-1
Faardrup,30-07-2014,Winter wheat,12,56.6,85,Left,70,,23-09-2014:Ploughing - 14 cm depth - straw 70 hkg ha-1 (fresh weight) incorporated
Faardrup,02-09-2015,Winter wheat,15,79.7,85,Shredded,71.5,100,Straw shredded (left in field) at harvest.
