Site,Date,Comment
Tylstrup,17-04-2011,Ploughed - depth 24 cm. Seed bed preparation, 8 cm depth
Tylstrup,18-04-2011,Rolled with concrete roller
Tylstrup,19-04-2011,Fertilisation - 138 N, 20 P, 66 K, kg ha-1
Tylstrup,19-04-2011,Seed bed preparation, 8 cm depth
Tylstrup,19-04-2011,Spring barley sown, cv.TamTam, seeding rate 180 kg ha-1, sowing depth 3.3 cm, row distance 12.5 cm. Final plant number 365 m-2
Tylstrup,26-04-2011,BBCH stage 11
Tylstrup,10-05-2011,Oxitril CM (ioxynil + bromoxynil) - weeds – 0.4 L ha-1 (not analysed)
Tylstrup,10-05-2011,BBCH stage 22
Tylstrup,11-05-2011,BBCH stage 22
Tylstrup,11-05-2011,Biomass 85.5 g m-2 - 100% DM
Tylstrup,16-05-2011,BBCH stage 25
Tylstrup,30-05-2011,BBCH stage 33
Tylstrup,06-06-2011,BBCH stage 40
Tylstrup,15-06-2011,Biomass 675.7 g m-2 - 100% DM
Tylstrup,15-06-2011,BBCH stage 51
Tylstrup,20-06-2011,BBCH stage 59
Tylstrup,20-06-2011,Bell (boscalid + epoxiconazole) - fungi - 1.5 L ha-1 (epoxiconazole not analysed)
Tylstrup,05-07-2011,BBCH stage 75
Tylstrup,08-07-2011,BBCH stage 77
Tylstrup,08-07-2011,Biomass 1175.9 g m-2 - 100% DM
Tylstrup,18-07-2011,BBCH stage 80
Tylstrup,02-08-2011,BBCH stage 86
Tylstrup,10-08-2011,BBCH stage 89
Tylstrup,16-08-2011,Harvest of spring barley. Stubble height 14 cm, grain yield 75.7 hkg ha-1 - 85% DM
Tylstrup,18-08-2011,Straw remowed, yield 34.6 hkg ha-1 - 100% DM
Tylstrup,22-03-2012,Ploughed - depth 24 cm
Tylstrup,24-03-2012,Spring barley sown, cv. TamTam, seeding rate 185 kg ha-1, sowing depth 2.75 cm, row distance 12.5 cm. Using combine driller with a tubular packer roller. Final plant number 344 m-2. Sown with rotor harrow combine sowing machine
Tylstrup,03-04-2012,BBCH stage 6-7
Tylstrup,10-04-2012,BBCH stage 09
Tylstrup,19-04-2012,BBCH stage 11
Tylstrup,29-04-2012,BBCH stage 12
Tylstrup,29-04-2012,Fertilisation - 123.9 N, 17.7 P, 59 K, kg ha-1
Tylstrup,30-04-2012,BBCH stage 12
Tylstrup,09-05-2012,BBCH stage 14
Tylstrup,16-05-2012,BBCH stage 20
Tylstrup,21-05-2012,BBCH stage 22
Tylstrup,21-05-2012,Biomass 72.2 g m-2 - 100% DM
Tylstrup,21-05-2012,Fox 480 SC (bifenox) - weeds - 1.2 L ha-1
Tylstrup,25-05-2012,Mustang forte (aminopyralid/florasulam/2,4-D) - weeds - 0.75 L ha-1
Tylstrup,25-05-2012,BBCH stage 29
Tylstrup,31-05-2012,BBCH stage 32
Tylstrup,31-05-2012,Irrigation 24 mm. Started 31/05. Ended 01/05
Tylstrup,06-06-2012,BBCH stage 37
Tylstrup,12-06-2012,BBCH stage 44
Tylstrup,19-06-2012,BBCH stage 50
Tylstrup,19-06-2012,Biomass 644.8 g m-2 - 100% DM
