Site,Date,Product,Class,Volume,Mass,Comment
Tylstrup,10-05-2011,Oxitril CM (ioxynil + bromoxynil),weeds,0.4,,(not analysed)
Tylstrup,20-06-2011,Bell (boscalid + epoxiconazole),fungi,1.5,,(epoxiconazole not analysed)
Tylstrup,31-08-2012,Tracer (potasium bromide),,,30000,
Tylstrup,21-05-2012,Fox 480 SC (bifenox),weeds,1.2,,
Tylstrup,25-05-2012,Mustang forte (aminopyralid/florasulam/2,4-D),weeds,0.75,,
Tylstrup,28-06-2012,Bell (boscalid + epoxiconazole),fungi,1.5,,(epoxiconazole not analysed)
Tylstrup,13-08-2012,Glyfonova 450 Plus (glyphosate),weeds,2.4,,(not analysed)
Tylstrup,12-10-2012,Boxer (prosulfocarb),weeds,4.0,,
Tylstrup,08-05-2013,Starane XL (fluroxypyr),weeds,1.2,,
Tylstrup,15-04-2014,Maxim 100 FS (fludioxonil),fungi,0.625,,250 ml ton-1 potatoes ~ 625 mL ha-1 a sprayed on potatoes before the planting
Tylstrup,16-04-2014,Command CS (clomazon),weeds,0.25,(not included)
Tylstrup,15-05-2014,Titus WSB (rimsulfuron),weeds,,10,(not included in monitoring)
Tylstrup,22-05-2014,Titus WSB (rimsulfuron),weeds,,20,(not included in monitoring)
Tylstrup,22-05-2014,U46 M (MCPA),weeds,0.1,,(not included in monitoring)
Tylstrup,26-06-2014,Dithane NT (mancozeb),fungi,2.0,,
Tylstrup,04-07-2014,Dithane NT (mancozeb),fungi,2.0,,
Tylstrup,14-07-2014,Dithane NT (mancozeb),fungi,2.0,,
Tylstrup,24-07-2014,Dithane NT (mancozeb),fungi,2.0,,
Tylstrup,02-08-2014,Dithane NT (mancozeb),fungi,2.0,,
Tylstrup,11-08-2014,Dithane NT (mancozeb),fungi,2.0,,
Tylstrup,18-08-2014,Dithane NT (mancozeb),fungi,2.0,,
Tylstrup,25-08-2014,Dithane NT (mancozeb),fungi,2.0,,
Tylstrup,30-10-2014,Lexus 50 WG (flupyrsulfuron),weeds,,10,(i.e. 4.6 g a.i. ha-1)
Tylstrup,14-11-2014,Orius 200 EW (tebuconazole),fungi,1.25,,(i.e. 250 g a.i. ha-1)
Tylstrup,09-04-2015,Lexus 50 WG (flupyrsulfuron),weeds,,10,(i.e. 4.6 g a.i. ha-1)
Tylstrup,14-05-2015,Starane XL (fluroxypyr + florasulam),weeds,1.2,,(i.e.120 g a.i. ha-1 + 3 g a.i. ha-1)
Tylstrup,14-05-2015,Proline EC 250 (prothioconazole),fungi,0.8,,(i.e. 200 g a.i. ha-1)
Tylstrup,12-06-2015,Proline EC 250 (prothioconazole),fungi,0.8,,(i.e. 200 g a.i. ha-1)
Tylstrup,20-08-2015,Glyphogan (glyhosate),weeds,2.7,,(sprayed simultaniously with the sowing of the catchcrop) (i.e. 972 g a.i. ha-1)
Tylstrup,19-05-2016,Fighter 480 (bentazone),weeds,1.5,,(i.e. 720 g a.i. ha-1)
Jyndevad,26-04-2011,Oxitril CM (bromoxynil + ioxynil),weeds,0.5,,(not analysed)
Jyndevad,26-04-2011,DFF (diflufenican),weeds,0.25,,
Jyndevad,07-05-2012,Tracer (potasium bromide),,,30.54,
Jyndevad,26-05-2012,Fighter 480 (bentazone),weeds,1.0,,
Jyndevad,05-06-2012,Callisto (mesotrione),weeds,1.5,,
Jyndevad,15-06-2012,Tomahawk 180 EC (fluroxypyr),weeds,1.5,,(none analysed)
Jyndevad,15-06-2012,Catch (florasulam + 2,4 D,weeds,0.06,,(none analysed)
Jyndevad,07-05-2013,Fighter 480 (bentazone),weeds,0.4,,(pendimethalin not analysed)
Jyndevad,07-05-2013,Stomp (pendimethalin),weeds,0.6,,(pendimethalin not analysed)
Jyndevad,16-05-2013,Bentazon 480 (bentazone),weeds,0.5,,
Jyndevad,16-05-2013,Stomp (pendimethalin),weeds,0.6,,(pendimethalin not analysed)
Jyndevad,16-07-2013,Pirimor G (pirimicarb),pests,,250,(not analysed)
Jyndevad,15-04-2014,Maxim 100 FS (fludioxonil),fungi,0.625,,sprayed at potatoes when planting
Jyndevad,30-04-2014,Command CS (clomazon),weeds,0.25,,
Jyndevad,30-04-2014,Glyphogan (glyphosate),weeds,1.5,,
Jyndevad,06-05-2014,Titus WSB (rimsulfuron),weeds,,10,(not included in monitoring)
Jyndevad,27-05-2014,Titus WSB (rimsulfuron),weeds,,20,(not included in monitoring)
Jyndevad,12-06-2014,Dithane NT (mancozeb),fungi,2.0,,
Jyndevad,18-06-2014,Dithane NT (mancozeb),fungi,2.0,,
Jyndevad,18-06-2014,Mospilan SG (acetamiprid),pests,,150,(not included)
Jyndevad,27-06-2014,Dithane NT (mancozeb),fungi,2.0,,
Jyndevad,27-06-2014,Mospilan SG (acetamiprid),pests,,150,(not included)
Jyndevad,04-07-2014,Dithane NT (mancozeb),fungi,2.0,,
Jyndevad,12-07-2014,Dithane NT (mancozeb),fungi,2.0,,
Jyndevad,18-07-2014,Dithane NT (mancozeb),fungi,2.0,,
Jyndevad,24-07-2014,Dithane NT (mancozeb),fungi,2.0,,
Jyndevad,30-07-2014,Ranman (cyazofamid),fungi,0.2,,
Jyndevad,07-08-2014,Ranman (cyazofamid),fungi,0.2,,
Jyndevad,14-08-2014,Dithane NT (mancozeb),fungi,2.0,,
Jyndevad,22-10-2014,Lexus 50 WG (flupyrsulfuron),weeds,,10,(i.e. 4.6 g a.i. ha-1)
Jyndevad,11-11-2014,Orius 200 EW (tebuconazole),fungi,1.25,,(i.e. 250 g a.i. ha-1)
Jyndevad,20-03-2015,Lexus 50 WG (flupyrsulfuron),weeds,,10,(i.e. 4.6 g a.i. ha-1)
Jyndevad,08-05-2015,Opus (epoxiconazole),fungi,1.0,,(i.e 125g a.i. ha-1)
Jyndevad,08-05-2015,Comet (pyraclostrobin),fungi,1.0,,(i.e 250g a.i. ha-1)
Jyndevad,17-06-2015,Proline 250 EC (prothioconazole),fungi,0.8,,(i.e. 200 g a.i. ha-1)
Jyndevad,03-05-2016,Fighter 480 (bentazone),weeds,1.5,,
Jyndevad,02-06-2016,Bumper 25 EC (propiconazole),fungi,0.5,,(i.e. 125 g a.i.ha-1)
Silstrup,15-04-2011,Hussar OD (iodosulfuron),weeds,0.05,,(not analysed)
Silstrup,26-04-2011,Fusilade Max (fluazifop-P-butyl),weeds,1.5,,
Silstrup,16-09-2011,Fox 480 SC (bifenox),weeds,1.5,,
Silstrup,13-04-2012,DFF (diflufenican),weeds,0.15,,
Silstrup,19-04-2012,Fusilade Max (fluazifop-P-butyl),weeds,1.5,,
Silstrup,18-05-2012,Folicur (tebuconazole),fungi,1.0,,
Silstrup,10-09-2012,Glyfonova 450 Plus (glyphosate),weeds,4.8,,(killing the red fescue)
Silstrup,10-09-2012,Tracer (potasium bromide),,,30000,
Silstrup,09-11-2012,DFF (diflufenican),weeds,,0.12,
Silstrup,09-11-2012,Oxitril CM(ioxynil+bromoxynil),weeds,0.2,,not analysed
Silstrup,30-05-2013,Duotril 400 EC (ioxynil+bromoxynil),weeds,0.6,,
Silstrup,25-06-2013,Amistar (azoxystrobin),fungi,1.0,,
Silstrup,01-07-2013,Folicur 250 EC (tebuconazole),fungi,1.0,,
Silstrup,20-08-2013,Glyfonova 450 Plus (glyphosate),weeds,2.4,,(killing the grass)
Silstrup,16-10-2013,Oxitril CM (bromoxynil + ioxynil),weeds,0.08,,(bromoxynil and ioxynil not included)
Silstrup,16-10-2013,DFF (diflufenican),weeds,0.2,,
Silstrup,04-06-2014,Amistar (azoxystrobin),fungi,1.0,,
Silstrup,25-07-2014,Glyfonova 450 Plus (glyphosate),weeds,2.4,,
Silstrup,27-05-2015,Callisto (mesotrione),weeds,0.75,,(i.e. 75 g a.i. ha-1)
Silstrup,27-05-2015,Harmony SX (thifensulfuron-methyl),weeds,,5.625,(2.813 g a.i. ha-1
Silstrup,09-06-2015,Callisto (mesotrione),weeds,0.75,(i.e. 75 g a.i. ha-1)
Silstrup,09-06-2015,MaisTer (foramsulfuron+iodosulfuron),weeds,,100,(i.e. 30 g a.i. ha-1 + 1 g a.i. ha-1)
Silstrup,23-06-2015,MaisTer (foramsulfuron+iodosulfuron),weeds,,50,(i.e. 15 g a.i. ha-1 + 0,5 g a.i. ha-1)
Silstrup,06-06-2016,Callisto (mesotrion),weeds,0.75,,(i.e. 75 g a.i. ha-1)
Silstrup,06-06-2016,Harmony SX (thifensulfuron-methyl),weeds,,5.625,(2.813 g a.i. ha-1)
Silstrup,22-06-2016,Callisto (mesotrion),weeds,0.75,(i.e. 75 g a.i. ha-1)
Silstrup,22-06-2016,MaisTer (foramsulfuron+iodosulfuron),weeds,,150,(45 g a.i. ha-1 + 1,5 g a.i. ha-1)
Estrup,30-09-2010,Express ST (tribenuron-methyl),weeds,,,1 tablet ha-1
Estrup,26-04-2011,Fox 480 SC (bifenox),weeds,1.2,,
Estrup,09-05-2011,Flexity (metrafenon),fungi,0.5,,
Estrup,07-06-2011,Flexity (metrafenon),fungi,0.5,,
Estrup,03-10-2011,Roundup Max (glyphosate),weeds,,2000,
