"Field name","Sample ident","Year","Country","Site","Trial ID number","Date","Hour","Plot number","Row spacing","Plant spacing","Treatment,water,ID","Treatment,water,Name","Treatment,irrigation,ID","Treatment,irrigation,Name","Treatment,strategy,ID","Treatment,strategy,Name","Replicate,ID","Replicate,Name"
"Unit","","","","","","","","","cm","cm","","","","","","","",""
"Unique name","SampleIdent","TrialYear","TrialCountryID","TrialSiteID","TrialID","RecordingDate","RecordingHour","PlotID","RowSpacing","PlantSpacing","TreatmentWaterID","TrialTreatmentWaterName","TreatmentIrrigationID","TrialTreatmentIrrigationName","TreatmentStrategyID","TrialTreatmentStrategyName","ReplicateID","TrialReplicateName"
1,"",2006,"CN","CAAS",1,"22/02/2006",2,1,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
2,"",2006,"CN","CAAS",1,"22/02/2006",2,2,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
3,"",2006,"CN","CAAS",1,"22/02/2006",2,3,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",2,"Partial rootzone drying",1,"Rep. 1"
4,"",2006,"CN","CAAS",1,"22/02/2006",2,4,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",1,"Full irrigated",1,"Rep. 1"
5,"",2006,"CN","CAAS",1,"23/02/2006",2,5,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",1,"Rep. 1"
6,"",2006,"CN","CAAS",1,"23/02/2006",2,6,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",1,"Rep. 1"
7,"",2006,"CN","CAAS",1,"23/02/2006",2,7,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
8,"",2006,"CN","CAAS",1,"23/02/2006",2,8,75,30,5,"Secondary treated waste water with sand filter and Chloride treatment",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
9,"",2006,"CN","CAAS",1,"24/02/2006",2,9,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",2,"Partial rootzone drying",2,"Rep. 2"
10,"",2006,"CN","CAAS",1,"24/02/2006",2,10,75,30,4,"Secondary treated waste water with sand filter",1,"Subsurface drip",1,"Full irrigated",2,"Rep. 2"
11,"",2006,"CN","CAAS",1,"24/02/2006",2,11,75,30,3,"Secondary treated waste water",4,"Furrow",2,"Partial rootzone drying",2,"Rep. 2"
12,"",2006,"CN","CAAS",1,"24/02/2006",2,12,75,30,3,"Secondary treated waste water",4,"Furrow",1,"Full irrigated",2,"Rep. 2"
